device,name,type,enabled,mac_address,mtu,description,mode
Cisco Switch 1,GigabitEthernet1/0/49,1000BASE-T (1GE),true,ece1.a9a7.5631,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/50,1000BASE-T (1GE),false,ece1.a9a7.5632,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/51,1000BASE-T (1GE),false,ece1.a9a7.5633,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/52,1000BASE-T (1GE),false,ece1.a9a7.5634,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/1,1000BASE-T (1GE),true,04da.d29b.5b01,1500,Office RB4011 POE / Port 1,Tagged
Cisco Switch 1,GigabitEthernet2/0/2,1000BASE-T (1GE),true,04da.d29b.5b02,1500,Unifi AP1(Technik),Tagged
Cisco Switch 1,GigabitEthernet2/0/3,1000BASE-T (1GE),true,04da.d29b.5b03,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/4,1000BASE-T (1GE),true,04da.d29b.5b04,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/5,1000BASE-T (1GE),true,04da.d29b.5b05,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/6,1000BASE-T (1GE),false,04da.d29b.5b06,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/7,1000BASE-T (1GE),false,04da.d29b.5b07,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/8,1000BASE-T (1GE),false,04da.d29b.5b08,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/9,1000BASE-T (1GE),true,04da.d29b.5b09,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/10,1000BASE-T (1GE),true,04da.d29b.5b0a,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/11,1000BASE-T (1GE),true,04da.d29b.5b0b,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/12,1000BASE-T (1GE),false,04da.d29b.5b0c,1500,aklementyev lab server vmnic1,Tagged
Cisco Switch 1,GigabitEthernet2/0/13,1000BASE-T (1GE),false,04da.d29b.5b0d,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/14,1000BASE-T (1GE),false,04da.d29b.5b0e,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/15,1000BASE-T (1GE),true,04da.d29b.5b0f,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/16,1000BASE-T (1GE),true,04da.d29b.5b10,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/17,1000BASE-T (1GE),true,04da.d29b.5b11,1500,,Tagged
